section;subtopic;source_name;section_link
introduction¶;Introduction;LE1 Data Products;https://euclid.esac.esa.int/msp/dpdd/live/le1dpd/le1intro.html#introduction
introduction¶;Introduction;SIM Data Products;https://euclid.esac.esa.int/msp/dpdd/live/simdpd/simintro.html#introduction
introduction¶;Introduction;VIS Data Products;https://euclid.esac.esa.int/msp/dpdd/live/visdpd/visintro.html#introduction
hk/tm product¶;HK/TM Product;LE1 Data Products;https://euclid.esac.esa.int/msp/dpdd/live/le1dpd/dpcards/hktm_product.html#hk-tm-product
nisp raw frame product¶;NISP Raw Frame Product;LE1 Data Products;https://euclid.esac.esa.int/msp/dpdd/live/le1dpd/dpcards/le1_nisprawframe.html#nisp-raw-frame-product
vis raw frame product¶;Vis Raw Frame Product;LE1 Data Products;https://euclid.esac.esa.int/msp/dpdd/live/le1dpd/dpcards/le1_visrawframe.html#vis-raw-frame-product
ext input configuration product¶;Ext Input Configuration Product;SIM Data Products;https://euclid.esac.esa.int/msp/dpdd/live/simdpd/dpcards/sim_extinputconfiguration.html#ext-input-configuration-product
galaxy catalog product¶;Galaxy Catalog Product;SIM Data Products;https://euclid.esac.esa.int/msp/dpdd/live/simdpd/dpcards/sim_galaxycatalogproduct.html#galaxy-catalog-product
nip input configuration product¶;Nip Input Configuration Product;SIM Data Products;https://euclid.esac.esa.int/msp/dpdd/live/simdpd/dpcards/sim_nipinputconfiguration.html#nip-input-configuration-product
nis input configuration product¶;Nis Input Configuration Product;SIM Data Products;https://euclid.esac.esa.int/msp/dpdd/live/simdpd/dpcards/sim_nisinputconfiguration.html#nis-input-configuration-product
sim request product¶;Sim Request Product;SIM Data Products;https://euclid.esac.esa.int/msp/dpdd/live/simdpd/dpcards/sim_simrequest.html#sim-request-product
sso catalog product¶;SSO Catalog Product;SIM Data Products;https://euclid.esac.esa.int/msp/dpdd/live/simdpd/dpcards/sim_ssocatalogproduct.html#sso-catalog-product
star catalog product¶;Star Catalog Product;SIM Data Products;https://euclid.esac.esa.int/msp/dpdd/live/simdpd/dpcards/sim_starcatalogproduct.html#star-catalog-product
